406,294.0,158.0,24.0
407,181.0,114.0,68.0
408,219.0,126.0,65.0
409,186.0,223.0,67.0
410,238.0,170.0,90.0
411,245.0,307.0,21.0
412,158.0,176.0,78.0
413,191.0,200.0,40.0
414,199.0,85.0,33.0
415,224.0,222.0,68.0
416,323.0,185.0,61.0
417,204.0,167.0,43.0
418,150.0,109.0,76.0
419,240.0,232.0,95.0
420,177.0,180.0,49.0
421,228.0,131.0,70.0
422,157.0,125.0,41.0
423,174.0,71.0,35.0
424,189.0,118.0,47.0
425,203.0,104.0,30.0
426,233.0,88.0,77.0
427,220.0,106.0,82.0
428,242.0,56.0,49.0
429,158.0,131.0,68.0
430,312.0,186.0,62.0
431,242.0,80.0,51.0
432,164.0,162.0,62.0
433,234.0,247.0,22.0
434,139.0,97.0,61.0
435,233.0,70.0,50.0
436,174.0,193.0,46.0
437,138.0,158.0,53.0
438,194.0,201.0,29.0
439,257.0,74.0,88.0
440,185.0,178.0,114.0
441,195.0,87.0,47.0
442,136.0,161.0,24.0
443,205.0,141.0,19.0
444,212.0,141.0,53.0
445,139.0,128.0,37.0
446,199.0,162.0,40.0
447,194.0,73.0,75.0
448,207.0,124.0,63.0
449,237.0,124.0,32.0
450,224.0,200.0,30.0
451,151.0,247.0,44.0
452,130.0,134.0,72.0
453,150.0,65.0,54.0
454,175.0,133.0,63.0
455,213.0,119.0,60.0
456,191.0,118.0,36.0
457,208.0,55.0,26.0
458,245.0,97.0,39.0
459,139.0,96.0,50.0
460,181.0,110.0,42.0
461,135.0,133.0,51.0
462,149.0,70.0,53.0
463,111.0,65.0,60.0
464,177.0,136.0,20.0
465,122.0,120.0,56.0
466,173.0,94.0,29.0
467,181.0,147.0,46.0
468,176.0,74.0,75.0
469,182.0,85.0,23.0
470,145.0,115.0,47.0
471,142.0,99.0,44.0
472,183.0,116.0,37.0
473,148.0,77.0,93.0
474,158.0,87.0,50.0
475,145.0,72.0,49.0
476,135.0,89.0,37.0
477,185.0,132.0,28.0
478,208.0,158.0,39.0
479,193.0,86.0,50.0
480,168.0,62.0,51.0
481,162.0,140.0,42.0
482,127.0,79.0,51.0
483,171.0,128.0,29.0
484,209.0,110.0,47.0
485,135.0,74.0,21.0
486,159.0,68.0,24.0
487,157.0,94.0,54.0
488,152.0,98.0,67.0
489,147.0,122.0,54.0
490,154.0,64.0,58.0
491,160.0,64.0,26.0
492,122.0,78.0,45.0
493,172.0,107.0,34.0
494,168.0,136.0,77.0
495,198.0,75.0,52.0
496,103.0,116.0,26.0
497,178.0,80.0,56.0
498,183.0,57.0,95.0
499,126.0,109.0,58.0
500,142.0,46.0,48.0
501,200.0,37.0,43.0
502,128.0,153.0,73.0
503,151.0,38.0,7.0
504,149.0,106.0,89.0
505,181.0,96.0,29.0
506,115.0,106.0,26.0
507,123.0,81.0,33.0
508,109.0,108.0,47.0
509,154.0,61.0,18.0
510,144.0,148.0,30.0
511,162.0,158.0,22.0
512,144.0,92.0,63.0
513,119.0,129.0,82.0
514,106.0,104.0,14.0
515,192.0,104.0,65.0
516,125.0,132.0,15.0
517,145.0,36.0,21.0
518,92.0,86.0,28.0
519,118.0,125.0,50.0
520,129.0,97.0,31.0
521,154.0,70.0,31.0
522,132.0,99.0,39.0
523,192.0,35.0,29.0
524,123.0,56.0,44.0
525,117.0,94.0,34.0
526,134.0,107.0,28.0
527,105.0,54.0,24.0
528,94.0,180.0,43.0
529,132.0,79.0,31.0
530,141.0,32.0,45.0
