epsilon,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,mean
1.010101010101010222e-01,3.896909031527423083e-03,4.746145804755685926e-03,2.896825849097594760e-03,3.703835849494413121e-03,4.462017480916003614e-03,4.875079486531475742e-03,5.136886216376609568e-03,6.151577033574398556e-03,3.825846311602179323e-03,3.862434465463459535e-03,3.957473941796711345e-03,4.370858039332780991e-03,5.069871793250791542e-03,3.909718659954959132e-03,3.746144684872702683e-03,3.521363372331801685e-03,4.585455266383044529e-03,5.059881421535488387e-03,3.445272122779272951e-03,4.257745882506376416e-03,4.312261587612700210e-03,5.018714974971183289e-03,4.295055296500849794e-03,4.604736691712132783e-03,4.075831203570628482e-03,5.582571092247729135e-03,4.355272666550282293e-03,4.690533018751706987e-03,5.054295203092118091e-03,4.163784336393997094e-03,0.000000000000000000e+00
1.111111111111111188e-01,4.055859958134649078e-03,5.002749244165651150e-03,3.707505900197598583e-03,4.596466033813368345e-03,3.864854460390455392e-03,4.170023980746393952e-03,4.429661386607333488e-03,5.161966679474016585e-03,4.408752658065544054e-03,3.867091930637284701e-03,4.026164427839479601e-03,4.336404040215809282e-03,3.543712742308551943e-03,5.402767809188175827e-03,4.840030991636313368e-03,4.304358256465184475e-03,3.004194401166476389e-02,4.711040224833576776e-03,5.015685396832620345e-03,4.195843181054315953e-03,4.923860274215750323e-03,4.198511641046145243e-03,5.050782117652670780e-03,5.544041846883914111e-03,5.377136784572250292e-03,4.810405388322276481e-03,4.487761134463375164e-03,4.563102015077024134e-03,3.844008324652796720e-03,3.637292949433685620e-03,0.000000000000000000e+00
1.212121212121212155e-01,6.858709791207090456e-03,3.701405138592639595e-03,6.898724519793495748e-03,5.085272854036447521e-03,4.598641103630506620e-03,4.627137343974132948e-03,4.255008813151859443e-03,3.953972685793365714e-03,4.407765874000115457e-03,4.726986354962324152e-03,5.457279542042903393e-03,3.691544392256444068e-03,5.515469155022082251e-03,4.546416171007664798e-03,4.752378351941267606e-03,4.627137343974132948e-03,4.958790175032615384e-03,4.264868110504708466e-03,4.750778883509523993e-03,4.133509404852008309e-03,4.523483171185673293e-03,4.910234210299952232e-03,4.917072299651490015e-03,4.662617290749905899e-03,4.472627862901182652e-03,5.379628239943722891e-03,4.525881129680716514e-03,4.154744276125788179e-03,4.703870746523547593e-03,3.680434756927501803e-03,0.000000000000000000e+00
1.313131313131313260e-01,4.643048567482360896e-03,4.563595074061676214e-03,4.308352353278454769e-03,4.078860134890628306e-03,3.600263879217744430e-03,4.446166888455718377e-03,4.568982381231077167e-03,4.714011030958666776e-03,4.859742791547716489e-03,4.407663780280886810e-03,4.206613840133177976e-03,5.163051423334848178e-03,4.222262426709168931e-03,4.626996866218952009e-03,4.407663780280885943e-03,3.661638977288721782e-03,3.705927684129845141e-03,4.674130935264864985e-03,3.856565829854327349e-03,5.480729878401233851e-03,5.130019493140351890e-03,4.396407624413368846e-03,4.277335619284509255e-03,4.109440351191388265e-03,4.432550056118938001e-03,5.186627034981405870e-03,3.899692295553586121e-03,4.493951490614912780e-03,5.201768929892983638e-03,5.542526499711119582e-03,0.000000000000000000e+00
1.414141414141414366e-01,4.397396957291892922e-03,1.799277632829353324e-02,6.859300255857007055e-03,5.632015624978324933e-03,5.655298400615125717e-03,6.132014350929064321e-03,5.051920426926773990e-03,5.598312245668331417e-03,5.649283140363917273e-03,4.732134824791027830e-03,3.957473941796711345e-03,5.083345355177040954e-03,4.831759513883115455e-03,5.155346739066151047e-03,4.339066719929529116e-03,5.976654582623961744e-03,4.418359424039650790e-03,4.885324963602728776e-03,7.905213469603461496e-03,7.544375388327385738e-03,6.207052440571128420e-03,4.081372318228269902e-03,4.512914800879804129e-03,7.790378681424927482e-03,4.873140671066247473e-03,4.927839283093554505e-03,6.658971392039463033e-03,5.032802400253758371e-03,4.753219961247322559e-03,5.247894816019085980e-03,0.000000000000000000e+00
1.515151515151515194e-01,6.086838259720723024e-03,5.253570214625478789e-03,3.616130528617571976e-03,3.880721582386451301e-03,6.815357657526125747e-03,4.373499742768942149e-03,4.369107460340154563e-03,5.874146746549663463e-03,9.134965790850012313e-03,6.094784655752817290e-03,3.671021656160584640e-03,4.781882474507294020e-03,5.307155546995018756e-03,3.684616669342959030e-03,5.669876541865792596e-03,6.428646824954688428e-03,5.661616376972215120e-03,6.950244600012290240e-03,5.223255689701587073e-03,6.139796413562911663e-03,4.445941969931681108e-03,6.792488498334023524e-03,4.563814194289684406e-03,6.232327013243127260e-03,6.413298683205078884e-03,4.076505856735642731e-03,5.726255320888163670e-03,4.903101059533649698e-03,5.491912235278345253e-03,7.308207714617860271e-03,0.000000000000000000e+00
1.616161616161616299e-01,4.532107677449863196e-03,4.379452020515809361e-03,5.078139423056440317e-03,5.141828468550851960e-03,4.781798824710216216e-03,4.219608986624234261e-03,5.370093109062449438e-03,4.857355247457200396e-03,6.621261209165516318e-03,6.059793725862292098e-03,5.352335938634643700e-03,5.432669693622096604e-03,5.260142583618812769e-03,6.621903049728226909e-03,6.238076626653443063e-03,5.573679215742506979e-03,5.790293602227783443e-03,5.091208108101652474e-03,3.299999999999999548e-03,7.305470552948658755e-03,5.531726674375732171e-03,5.389053720274089056e-03,8.517482022288042770e-03,5.107602177147315195e-03,1.416474496770061967e-03,6.180744291749983715e-03,1.107192846797702343e-02,5.091905340832643227e-03,5.638040439727263695e-03,5.641586656251944797e-03,0.000000000000000000e+00
1.717171717171717404e-01,6.159253201484738566e-03,6.855917152358246246e-03,6.007287241342800822e-03,7.581319146428277915e-03,5.966330530569018999e-03,6.454850889060102272e-03,6.305521390020018581e-03,7.900196200095287516e-03,6.390492938733287505e-03,7.751361170788005281e-03,6.473206315266028139e-03,6.166068439451511014e-03,7.822505992327522667e-03,7.138459217506254971e-03,6.620234134832393529e-03,8.022069558411969170e-03,7.164991277035862027e-03,7.052226598741704634e-03,8.572887494887588763e-03,6.685057965343306485e-03,6.957089908862756390e-03,6.963878229837164660e-03,6.517484177195982317e-03,6.967180204358144890e-03,6.469706330274968380e-03,6.708203932499368777e-03,6.160876561009804610e-03,3.124275916112403528e-03,6.506489068614501950e-03,6.166644144103014882e-03,0.000000000000000000e+00
1.818181818181818232e-01,4.959627002104089778e-03,7.436907959629459643e-03,9.554600985912493905e-03,7.876363374045156768e-03,7.771299762587980352e-03,7.423280945781318696e-03,7.583508422887126448e-03,8.281932141716689261e-03,8.141031875628543593e-03,8.002968199362034754e-03,7.961381789614162263e-03,7.855819498944715401e-03,9.027424881991541472e-03,7.466424847274630815e-03,7.327236859826492116e-03,6.816157275180787650e-03,8.194852042593570030e-03,7.148678199499540475e-03,6.799080820228569841e-03,1.024860478309120963e-02,8.498676367529239828e-03,1.274706240668806168e-02,7.818797861564143539e-03,8.005648006251586679e-03,7.522738862940810990e-03,7.178265807282424582e-03,7.023809507667473813e-03,6.497107048525519769e-03,8.406211988761643980e-03,1.031988372027514700e-02,0.000000000000000000e+00
1.919191919191919338e-01,8.656650622498287401e-03,8.022493377996642999e-03,8.777351536767796086e-03,7.233007673160592003e-03,5.204027286630999276e-03,8.162419984293874456e-03,6.657469489227870081e-03,7.171743163276275701e-03,7.388227121576596695e-03,7.769240632133876667e-03,6.817448202956880726e-03,8.369772995726946357e-03,8.016851002731683121e-03,9.340637023244186682e-03,7.644632103639781816e-03,6.625375461058791160e-03,6.994991065040755650e-03,6.972488795258117815e-03,7.196360191096607024e-03,7.075422248883807275e-03,9.446030912504998003e-03,1.152128465059343819e-02,7.678567574749863012e-03,7.388227121576596695e-03,1.245415191813557462e-02,8.490435795646769992e-03,7.568427842029017659e-03,8.663740531664137698e-03,8.980038975416531483e-03,1.092543362983822326e-02,0.000000000000000000e+00
2.020202020202020443e-01,9.863386842256568338e-03,8.852660617012267710e-03,9.306658906396000561e-03,7.374957626996916753e-03,8.439022455237336559e-03,8.023615145307007313e-03,7.838743521764186123e-03,7.432200212588463244e-03,7.603808256393633849e-03,7.573215961531798088e-03,1.233617039441333406e-02,9.001172145892999063e-03,7.316249038954319300e-03,1.369794145118163366e-02,8.053142243869779518e-03,9.115832381082924693e-03,1.000125492125863297e-02,6.453712110096018577e-03,7.228858831101904643e-03,8.788236455626350502e-03,8.709414446448165287e-03,7.323243816779556430e-03,7.220360101823177813e-03,8.036267790460942945e-03,9.938304684401660580e-03,8.795203238129293763e-03,8.090117428072350972e-03,1.371278235807744418e-02,1.065444038887073709e-02,8.941470796239284549e-03,0.000000000000000000e+00
2.121212121212121271e-01,8.848610060342810418e-03,1.334119559859610164e-02,1.672841893306118918e-02,7.367570834406683873e-03,7.435664059114020785e-03,7.714272486761145596e-03,1.042642795975687840e-02,9.071934744033380293e-03,7.081666470542085680e-03,9.018752685377285847e-03,1.491926271636772293e-02,1.002961115896324265e-02,8.969253034673512273e-03,9.661940798825048582e-03,8.393205585472096955e-03,9.991476367384352977e-03,1.152161013053297316e-02,8.457280886904490133e-03,1.034011121797052957e-02,1.249868393071846585e-02,1.499832990702631638e-02,9.681818011096882115e-03,1.309198227924251307e-02,7.617578355356772503e-03,9.452084426199333991e-03,7.810736200896814356e-03,9.887365675446620900e-03,7.426008349039206827e-03,9.693559717668220888e-03,6.336402764976356225e-03,0.000000000000000000e+00
2.222222222222222376e-01,1.325754125017154263e-02,4.402887575216973132e-02,9.165909665712399998e-03,1.440352734575805344e-02,1.364997802196032950e-02,8.584701509079976228e-03,7.380352295114374524e-03,9.133542576678558775e-03,7.621705845806436494e-03,8.777807243269814333e-03,7.308755023942176479e-03,9.870536966143230589e-03,8.074032449773780803e-03,8.024580985945621928e-03,1.237086900747073719e-02,8.711343180015353183e-03,7.847617472838491759e-03,9.267599473434315685e-03,1.831502115750893375e-02,9.173194645269444614e-03,7.847617472838491759e-03,1.612265486822812496e-02,1.751244985717304026e-02,7.199131892110325823e-03,2.863369343972237135e-02,2.888612815868544376e-02,8.528041979258778327e-03,8.906379735897185929e-03,8.316315289838402749e-03,6.347408920181525291e-03,0.000000000000000000e+00
