epsilon,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,mean
1.010101010101010222e-01,3.455878180723389037e-01,1.869758422898530337e-01,1.896666486233149207e-01,1.825114911450783084e-01,1.691727176586106662e-01,3.440280597567588194e-01,3.227513817166395849e-01,1.787811430212929431e-01,3.191981303203388354e-01,1.509068384799045481e-01,1.754382680603066014e-01,3.293769973753479796e-01,2.952573623129489122e-01,1.881604450993885069e-01,3.218360357386972348e-01,3.239026088193795450e-01,1.711486885722470486e-01,1.835872914991666660e-01,3.044054243931930692e-01,1.823566776951148771e-01,3.279636296908545745e-01,3.291485833176256981e-01,3.424818827325030735e-01,2.942573314294819609e-01,1.850344235541052096e-01,2.764438756782287565e-01,3.391007130632432420e-01,2.644923021564143939e-01,3.166390643935141358e-01,2.927240502589427140e-01,2.611111908974945162e-01
1.111111111111111188e-01,3.590461413244821487e-01,3.392446696707259735e-01,3.032394926456644657e-01,3.650780952070392660e-01,3.549986163353316404e-01,3.587516550484470823e-01,3.533496732699777376e-01,3.202716464190983880e-01,3.212823032785964150e-01,3.420315674027764596e-01,3.364418220138513105e-01,3.388017361230605817e-01,3.656909179894956008e-01,3.376293091542853508e-01,3.443937599608912770e-01,3.510144948574061008e-01,3.210325098802300769e-01,3.210526436583259202e-01,3.319686543937544476e-01,3.409760554643097019e-01,3.451874934003258399e-01,3.438819813540686110e-01,3.601555030816550040e-01,3.548033872442595826e-01,3.609612860127800471e-01,3.540864972008958556e-01,3.053944103941655386e-01,3.343294690870070585e-01,3.623158230052890838e-01,3.372988851152639023e-01,3.421570166664487100e-01
1.212121212121212155e-01,3.436262789717922650e-01,3.504948193625691544e-01,3.630681031156551275e-01,3.511977635179358570e-01,3.512173507957714880e-01,3.439097583669297742e-01,3.561839102205487939e-01,3.617417171131911413e-01,3.488084991797075207e-01,3.287094668548504184e-01,3.837622090565979693e-01,3.278181903128623009e-01,3.639396063909505208e-01,3.628969929608125145e-01,3.665938902927870502e-01,3.154080878798132259e-01,3.605858117009043129e-01,3.282069292382475134e-01,3.360493230167261869e-01,3.485303883451197904e-01,3.680650946503892240e-01,3.477721092899774269e-01,3.617753800357343397e-01,3.153064388812889529e-01,3.551796469394044031e-01,3.638054440219387065e-01,3.550687272909288650e-01,3.460457615691889810e-01,3.578090567607253858e-01,3.438956206467305154e-01,3.502490792260026242e-01
1.313131313131313260e-01,3.773811251241905307e-01,3.705894778592613847e-01,3.569308441421110700e-01,3.732366374031359513e-01,3.515856146090166612e-01,3.522527240490838096e-01,3.504159608237045198e-01,3.454962371719842440e-01,3.621507888987678947e-01,3.835617127660162495e-01,3.522984950294281159e-01,3.754975451317891233e-01,3.713509962286353772e-01,3.605108547602970392e-01,3.656354118517515794e-01,3.726798701298474903e-01,3.541489487489691834e-01,3.678449423330433787e-01,3.620361031720454870e-01,3.563492214106830369e-01,3.623635572184377707e-01,3.660053278300740565e-01,3.484689076517444306e-01,3.617677984564132143e-01,3.499928186406115471e-01,3.679661303707176812e-01,3.406317448506524515e-01,3.514929977965421948e-01,3.458892104417251034e-01,3.650982410256176647e-01,3.607210081975432692e-01
1.414141414141414366e-01,3.650982458188480329e-01,3.574066311640006766e-01,3.645414379737919042e-01,3.607976267937470505e-01,3.784894999864593657e-01,3.562530841971757734e-01,3.793822563062221320e-01,3.682233684871181190e-01,3.850229115260545010e-01,3.643319058221500817e-01,3.558585173913925148e-01,3.822576004476562206e-01,3.647335711173294026e-01,3.534884239971656794e-01,3.817569303889583598e-01,3.468419144221182582e-01,3.455158630222351923e-01,3.601973652041335905e-01,3.825152508070756574e-01,3.512053204323647426e-01,3.362555473148361451e-01,3.719875379633032497e-01,3.747405068844306131e-01,3.749354285740412740e-01,3.692011782213052151e-01,3.466420488053923443e-01,3.643732892241142163e-01,3.529125300977566937e-01,3.567515101579809556e-01,3.851315270138241931e-01,3.645616276520993737e-01
1.515151515151515194e-01,4.001484198394390512e-01,3.508193118971645319e-01,3.755082257421267222e-01,3.670987184668451087e-01,3.722830292935738750e-01,3.548655525688566570e-01,3.704701201176688885e-01,3.700257445097570042e-01,3.364021551655101971e-01,3.821261910678199203e-01,3.528454726930756458e-01,3.671205898611517582e-01,3.853647460523600965e-01,3.484350877853721329e-01,3.793999077490662897e-01,3.786211478509883821e-01,3.667478527544503764e-01,3.527896057142273500e-01,3.613101321579565428e-01,3.702980328060088699e-01,3.640899427339349126e-01,3.660507199829007297e-01,3.647399252892394861e-01,3.645311480518503289e-01,3.622490318827643607e-01,3.661887998014138890e-01,3.381896899670361334e-01,3.619582156824182606e-01,3.653720869196222520e-01,3.811799937037619879e-01,3.659076532702787987e-01
1.616161616161616299e-01,3.572224588404261936e-01,3.614990040096929258e-01,3.685160613867460300e-01,3.575077032736497240e-01,3.793757740025053837e-01,3.850283702534139096e-01,3.828798328457637123e-01,3.747044323196617732e-01,3.513935484609813087e-01,3.504826744648014691e-01,3.637466342112322115e-01,3.769772538230920511e-01,3.591361719459625901e-01,3.812562917513624416e-01,3.710895410813945250e-01,3.889671054215253498e-01,3.734577431249752055e-01,3.832864521477376551e-01,3.826250253185224937e-01,3.824208701156358026e-01,3.789934114203042381e-01,3.564586566489864605e-01,3.681953454350013755e-01,3.718625890029810255e-01,3.743956858725805414e-01,3.930083133980756260e-01,3.601696648803172085e-01,3.634039245797986428e-01,3.674533999026270981e-01,3.806654567990113702e-01,3.715393132246255226e-01
1.717171717171717404e-01,3.582230661194223398e-01,3.748761987643386973e-01,3.692141734820049148e-01,3.489139200433252763e-01,3.761132669821685703e-01,3.714663477355653609e-01,3.608223134729890980e-01,3.800249016840869798e-01,3.795058591115557101e-01,3.788743447371436535e-01,3.763562323118882502e-01,3.760783230924111820e-01,3.675599814996186043e-01,3.627314669283601134e-01,3.689300725069725173e-01,3.844730679774592264e-01,3.910330425935895637e-01,3.750446718725650719e-01,3.871259660627274779e-01,3.812278825059888243e-01,3.796834265542808895e-01,3.633943747500777977e-01,3.672031949752071478e-01,3.643552622098382709e-01,3.826031493597510935e-01,3.805131934637746571e-01,3.829284918884987010e-01,3.644954595053277457e-01,3.506617599625029280e-01,3.723103995324331672e-01,3.725581270561957870e-01
1.818181818181818232e-01,3.768759067650783168e-01,3.543999176072138990e-01,3.838813007949201661e-01,3.864737398582211436e-01,3.802049051498415100e-01,3.708624817907575921e-01,3.853108355600709523e-01,3.803521741754606889e-01,3.768810521902102861e-01,3.702561571398914619e-01,3.862825861982390752e-01,3.891555312468267802e-01,3.739850804510789772e-01,3.809302470269327334e-01,3.806105994320179153e-01,3.812498617704667692e-01,3.607441058423547231e-01,3.447219424405704724e-01,3.749050507795273490e-01,3.723080117322214999e-01,3.575712259117055924e-01,3.664521966095987127e-01,3.673036367911431399e-01,3.829244441139792454e-01,3.740289522216161400e-01,3.754224052983519133e-01,3.610678196682722829e-01,3.670539604744784690e-01,3.767314017970893603e-01,3.727065220786993649e-01,3.737218017638946344e-01
1.919191919191919338e-01,3.694164602450734636e-01,3.743769725824492856e-01,3.826961294552114756e-01,3.711837403497087462e-01,3.790541305671262240e-01,3.647669517650961590e-01,3.768333430045701093e-01,3.764363025798654339e-01,3.798203273917813982e-01,3.763167793229528768e-01,3.747170232321985206e-01,3.915865895303362598e-01,3.814106348805706981e-01,3.772217432757554723e-01,3.708695220694199768e-01,3.739637634851804560e-01,3.691044237068962786e-01,3.864779231728508457e-01,3.849068245692715551e-01,3.678581791941019086e-01,3.684278485673959103e-01,3.681791481059187299e-01,3.871919434853984820e-01,3.859874965591502116e-01,3.752406261320860303e-01,3.868759619051047038e-01,3.787825142479520069e-01,3.448051008903435521e-01,3.789517482477155474e-01,3.835953361291036257e-01,3.762351829550195093e-01
2.020202020202020443e-01,3.821029735555586671e-01,3.601890109373132587e-01,3.694979744193463977e-01,3.858469980445616843e-01,3.600808803588438356e-01,3.845816858614045097e-01,3.762765306260809073e-01,3.434961216666063133e-01,3.673935334215886472e-01,3.735643719628519155e-01,3.545793316029573483e-01,3.786976814029893168e-01,3.725568767315938223e-01,3.771218338945651616e-01,3.810767244269846477e-01,3.876431703254940575e-01,3.700023453979717769e-01,3.672342146369262372e-01,3.846378165235446178e-01,3.608585389040974145e-01,3.757509115092071417e-01,3.728621841914247503e-01,3.707293097395996107e-01,3.863105310498278766e-01,3.571462255155442578e-01,3.785473839560907772e-01,3.825000920261327209e-01,3.530703046136845491e-01,3.606401612410908286e-01,3.918108211879809955e-01,3.722268846577288515e-01
2.121212121212121271e-01,3.690819761245460739e-01,3.647563438790338286e-01,3.804498930214069152e-01,3.894323566423313898e-01,3.816061587553324363e-01,3.603422767314432007e-01,3.809089255977076705e-01,3.801646321003572804e-01,3.770615200467954953e-01,3.670084766051051051e-01,3.947224314629205200e-01,3.837838218320308581e-01,3.746663715894448798e-01,3.734397508300368318e-01,3.684867568855086928e-01,3.718291274227988330e-01,3.801826240111454425e-01,4.002268426779992949e-01,3.881338865649326397e-01,3.753809333197412057e-01,3.968611408288798548e-01,3.739844948657630730e-01,3.731543245093107974e-01,3.956800246411233957e-01,3.886303512336626853e-01,3.728510720113327181e-01,3.740580703580662081e-01,3.748541768474775715e-01,3.780183163551734671e-01,3.813870573315250589e-01,3.790381378360977993e-01
2.222222222222222376e-01,3.875923862771300521e-01,3.843970234015867127e-01,3.844430563815660618e-01,3.755705797849453464e-01,3.660202939728888771e-01,3.736676030913035906e-01,3.721555449002472704e-01,3.740441198575376602e-01,3.581317863580388283e-01,3.810104999865489006e-01,3.620451368268878811e-01,3.828443109150245771e-01,3.549088756286604696e-01,3.916897081874886055e-01,3.728545378562529988e-01,3.806493497958455818e-01,3.758472210885694387e-01,3.718641928177543465e-01,3.916579303422821901e-01,3.750354301929352263e-01,3.776068489844960352e-01,3.702372887757255371e-01,3.785891181743078482e-01,3.871053627889957660e-01,3.620693374203344250e-01,3.880138399593499043e-01,3.992105459528843547e-01,3.857898986495110760e-01,3.704427588710568764e-01,3.970911099483341311e-01,3.777528565729497689e-01
2.323232323232323482e-01,3.773008713215488807e-01,3.726985509765231575e-01,3.648853478834139241e-01,3.880195679344019544e-01,3.661825249790054970e-01,3.856608731774588406e-01,3.702313336280439460e-01,3.801925033453448233e-01,3.489365642921360422e-01,3.732989799075266402e-01,3.784430583324260300e-01,3.909509395052018221e-01,3.811256963260283293e-01,3.645093683295396736e-01,3.624837004611379809e-01,3.674916004482279286e-01,3.606496560375456739e-01,3.860207469812989012e-01,3.643287685593878389e-01,3.645811108656069610e-01,3.801673268443778175e-01,3.731444560756597695e-01,3.807341124722080639e-01,3.846956298166123167e-01,3.843817134047872175e-01,3.712886095748157977e-01,3.798760345165249075e-01,3.793518915202611641e-01,3.746412796262579281e-01,3.379443273676893678e-01,3.731405714836999454e-01
