cluster_size,0.125,0.175,0.18,0.225,0.23,0.35,0.4
180,1608.0,1280.0,903.0,418.0,445.0,488.0,11.0
181,1486.0,931.0,986.0,419.0,392.0,362.0,8.0
182,1603.0,983.0,969.0,545.0,561.0,337.0,0.0
183,1553.0,920.0,1048.0,406.0,408.0,401.0,11.0
184,1494.0,1013.0,1073.0,386.0,432.0,336.0,4.0
185,1470.0,949.0,941.0,536.0,454.0,332.0,2.0
186,1463.0,944.0,930.0,412.0,485.0,422.0,3.0
187,1470.0,1001.0,858.0,411.0,394.0,481.0,19.0
188,1510.0,1102.0,871.0,317.0,402.0,242.0,5.0
189,1406.0,1014.0,892.0,501.0,317.0,322.0,8.0
190,1399.0,699.0,1087.0,446.0,409.0,372.0,10.0
191,1399.0,839.0,922.0,386.0,429.0,235.0,2.0
192,1354.0,867.0,732.0,482.0,394.0,405.0,4.0
193,1364.0,767.0,949.0,327.0,280.0,323.0,0.0
194,1302.0,707.0,1243.0,355.0,391.0,322.0,34.0
195,1362.0,900.0,746.0,406.0,442.0,267.0,0.0
196,1338.0,901.0,653.0,386.0,333.0,253.0,25.0
197,1317.0,836.0,887.0,442.0,294.0,358.0,9.0
198,1313.0,921.0,752.0,473.0,308.0,331.0,3.0
199,1391.0,914.0,706.0,354.0,330.0,363.0,12.0
200,1279.0,843.0,758.0,391.0,377.0,300.0,24.0
201,1231.0,792.0,649.0,415.0,332.0,279.0,9.0
202,1246.0,744.0,731.0,326.0,289.0,315.0,5.0
203,1239.0,594.0,630.0,317.0,266.0,313.0,18.0
204,1314.0,826.0,726.0,435.0,241.0,381.0,3.0
205,1326.0,680.0,623.0,410.0,295.0,276.0,2.0
206,1234.0,720.0,871.0,286.0,326.0,291.0,7.0
207,1214.0,819.0,506.0,286.0,269.0,277.0,2.0
208,1201.0,787.0,627.0,341.0,259.0,321.0,11.0
209,1160.0,667.0,662.0,370.0,321.0,271.0,28.0
210,1088.0,824.0,685.0,419.0,302.0,243.0,0.0
211,1177.0,639.0,709.0,531.0,249.0,292.0,0.0
212,1103.0,653.0,668.0,262.0,343.0,259.0,21.0
213,1207.0,528.0,639.0,380.0,358.0,214.0,1.0
214,1135.0,929.0,610.0,396.0,245.0,270.0,11.0
215,1146.0,758.0,784.0,384.0,252.0,330.0,2.0
216,1022.0,623.0,530.0,351.0,317.0,278.0,16.0
217,1178.0,511.0,485.0,312.0,252.0,264.0,0.0
218,1139.0,729.0,790.0,274.0,279.0,288.0,13.0
219,1076.0,553.0,833.0,308.0,294.0,231.0,19.0
220,983.0,597.0,695.0,232.0,289.0,231.0,4.0
221,1014.0,680.0,891.0,269.0,228.0,255.0,11.0
222,1129.0,713.0,481.0,281.0,329.0,208.0,8.0
223,1009.0,553.0,575.0,350.0,211.0,282.0,6.0
224,1089.0,660.0,559.0,258.0,292.0,211.0,12.0
225,996.0,766.0,374.0,408.0,268.0,210.0,7.0
226,907.0,517.0,532.0,292.0,307.0,178.0,2.0
227,1039.0,641.0,590.0,229.0,173.0,258.0,3.0
228,971.0,673.0,497.0,254.0,272.0,257.0,7.0
229,998.0,567.0,515.0,220.0,331.0,295.0,3.0
230,1044.0,511.0,667.0,229.0,257.0,304.0,7.0
231,985.0,626.0,590.0,406.0,195.0,342.0,9.0
232,928.0,691.0,575.0,312.0,211.0,209.0,4.0
233,969.0,537.0,597.0,245.0,315.0,247.0,11.0
234,1008.0,493.0,530.0,272.0,259.0,229.0,7.0
235,840.0,674.0,549.0,280.0,348.0,195.0,5.0
236,854.0,429.0,398.0,327.0,266.0,351.0,23.0
237,872.0,672.0,666.0,227.0,221.0,257.0,3.0
